title;abstract;journal;area;field
POISEUILLE FLOW OF NEMATIC LIQUID CRYSTALS VIA THE FULL ERICKSEN-LESLIE MODEL;IN THIS PAPER, WE STUDY THE CAUCHY PROBLEM OF THE POISEUILLE FLOW OF THE FULL ERICKSEN-LESLIE MODEL FOR NEMATIC LIQUID CRYSTALS. THE MODEL IS A COUPLED SYSTEM OF A PARABOLIC EQUATION FOR THE VELOCITY AND A QUASILINEAR WAVE EQUATION FOR THE DIRECTOR. FOR A PARTICULAR CHOICE OF SEV;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
NOS,-THERMOSTATED MECHANICAL SYSTEMS ON THE N-TORUS;LET BE AN N-DEGREE OF FREEDOM C (R) MECHANICAL HAMILTONIAN ON WHERE . WHEN THE METRIC IS FLAT, THE NOS,-THERMOSTATED SYSTEM ASSOCIATED TO H IS SHOWN TO HAVE A POSITIVE-MEASURE SET OF INVARIANT TORI NEAR THE INFINITE TEMPERATURE LIMIT. THIS IS SHOWN TO BE TRUE FOR ALL VARIABLE MAS;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
ON THE BOLTZMANN EQUATION WITH STOCHASTIC KINETIC TRANSPORT: GLOBAL EXISTENCE OF RENORMALIZED MARTINGALE SOLUTIONS;THIS ARTICLE STUDIES THE CAUCHY PROBLEM FOR THE BOLTZMANN EQUATION WITH STOCHASTIC KINETIC TRANSPORT. UNDER A CUT-OFF ASSUMPTION ON THE COLLISION KERNEL AND A COLORING HYPOTHESIS FOR THE NOISE COEFFICIENTS, WE PROVE THE GLOBAL EXISTENCE OF RENORMALIZED (IN THE SENSE OF DIPERNA/LI;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
DATA-DRIVEN FINITE ELASTICITY;WE EXTEND TO FINITE ELASTICITY THE DATA-DRIVEN FORMULATION OF GEOMETRICALLY LINEAR ELASTICITY PRESENTED IN CONTI ET AL. (ARCH RATION MECH ANAL 229:79-123, 2018). THE MAIN FOCUS OF THIS PAPER CONCERNS THE FORMULATION OF A SUITABLE FRAMEWORK IN WHICH THE DATA-DRIVEN PROBLEM OF FINI;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
ORBITAL STABILITY VIA THE ENERGY-MOMENTUM METHOD: THE CASE OF HIGHER DIMENSIONAL SYMMETRY GROUPS;WE CONSIDER THE ORBITAL STABILITY OF RELATIVE EQUILIBRIA OF HAMILTONIAN DYNAMICAL SYSTEMS ON BANACH SPACES, IN THE PRESENCE OF A MULTI-DIMENSIONAL INVARIANCE GROUP FOR THE DYNAMICS. WE PROVE A PERSISTENCE RESULT FOR SUCH RELATIVE EQUILIBRIA, PRESENT A GENERALIZATION OF THE VAKHIT;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
ON THE IDEAL MAGNETOHYDRODYNAMICS IN THREE-DIMENSIONAL THIN DOMAINS: WELL-POSEDNESS AND ASYMPTOTICS;WE CONSIDER THE IDEAL MAGNETOHYDRODYNAMICS (MHD) SUBJECTED TO A STRONG MAGNETIC FIELD ALONG X(1) DIRECTION IN THREE-DIMENSIONAL (3D) THIN DOMAIN OMEGA(DELTA) = R-2 X(-DELTA, DELTA) WITH SLIP BOUNDARY CONDITIONS. IT IS WELL-KNOWN THAT IN THIS SITUATION THE SYSTEM WILL GENERATE ALF;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
A NEW FEDERER-TYPE CHARACTERIZATION OF SETS OF FINITE PERIMETER;FEDERER'S CHARACTERIZATION STATES THAT A SET E SUBSET OF RN\DOCUMENTCLASS[12PT]{MINIMAL} \USEPACKAGE{AMSMATH} \USEPACKAGE{WASYSYM} \USEPACKAGE{AMSFONTS} \USEPACKAGE{AMSSYMB} \USEPACKAGE{AMSBSY} \USEPACKAGE{MATHRSFS} \USEPACKAGE{UPGREEK} \SETLENGTH{\ODDSIDEMARGIN}{-69PT} \BEGIN{DO;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
NONLINEAR HYPERBOLIC WAVES IN RELATIVISTIC GASES OF MASSIVE PARTICLES WITH SYNGE ENERGY;IN THIS ARTICLE, WE STUDY SOME FUNDAMENTAL PROPERTIES OF NONLINEAR WAVES AND THE RIEMANN PROBLEM OF EULER'S RELATIVISTIC SYSTEM WHEN THE CONSTITUTIVE EQUATION FOR ENERGY IS THAT OF SYNGE FOR A MONATOMIC RAREFIED GAS OR ITS GENERALIZATION FOR DIATOMIC GAS. THESE CONSTITUTIVE EQUAT;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
LOCAL-IN-TIME SOLVABILITY AND SPACE ANALYTICITY FOR THE NAVIER-STOKES EQUATIONS WITH BMO-TYPE INITIAL DATA;IT IS PROVED THAT THERE EXISTS A LOCAL-IN-TIME SOLUTION U IS AN ELEMENT OF C([0,T),BMO(RD)D)$$U\IN C([0,T),BMO({\MATHBB {R}}<^>D)<^>D)$$\END{DOCUMENT} OF THE NAVIER-STOKES EQUATIONS SUCH THAT EVERY U(T) HAS AN ANALYTIC EXTENSION ON A COMPLEX DOMAIN WHOSE SIZE ONLY DEPENDS ON T (A;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
VANISHING DISTANCE PHENOMENA AND THE GEOMETRIC APPROACH TO SQG;IN THIS ARTICLE WE STUDY THE INDUCED GEODESIC DISTANCE OF FRACTIONAL ORDER SOBOLEV METRICS ON THE GROUPS OF (VOLUME PRESERVING) DIFFEOMORPHISMS AND SYMPLECTOMORPHISMS. THE INTEREST IN THESE GEOMETRIES IS FUELED BY THE OBSERVATION THAT THEY ALLOW FOR A GEOMETRIC INTERPRETATION FOR;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
GLOBAL WEAK SOLUTIONS TO A DIFFUSE INTERFACE MODEL FOR INCOMPRESSIBLE TWO-PHASE FLOWS WITH MOVING CONTACT LINES AND DIFFERENT DENSITIES;IN THIS PAPER, WE ANALYZE A GENERAL DIFFUSE INTERFACE MODEL FOR INCOMPRESSIBLE TWO-PHASE FLOWS WITH UNMATCHED DENSITIES IN A SMOOTH BOUNDED DOMAIN OMEGA SUBSET OF RD (D=2,3). THIS MODEL DESCRIBES THE EVOLUTION OF FREE INTERFACES IN CONTACT WITH THE SOLID BOUNDARY, NAMELY THE MOVI;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
GLOBAL SOLUTIONS FOR THE GENERALIZED SQG PATCH EQUATION;WE CONSIDER THE INVISCID GENERALIZED SURFACE QUASI-GEOSTROPHIC EQUATION (GSQG) IN A PATCH SETTING, WHERE THE PARAMETER (1,2). THE CASES =0 AND =1 CORRESPOND TO 2D EULER AND SQG RESPECTIVELY, AND OUR CHOICE OF THE PARAMETER RESULTS IN A VELOCITY MORE SINGULAR THAN IN THE SQG CASE.;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
THE ENERGY MEASURE FOR THE EULER AND NAVIER-STOKES EQUATIONS;THE POTENTIAL FAILURE OF ENERGY EQUALITY FOR A SOLUTION U OF THE EULER OR NAVIER-STOKES EQUATIONS CAN BE QUANTIFIED USING A SO-CALLED 'ENERGY MEASURE': THE WEAK- LIMIT OF THE MEASURES AS T APPROACHES THE FIRST POSSIBLE BLOWUP TIME. WE SHOW THAT MEMBERSHIP OF U IN CERTAIN (WEAK OR;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
THE RIEMANN PROBLEM FOR THE MULTIDIMENSIONAL ISENTROPIC SYSTEM OF GAS DYNAMICS IS ILL-POSED IF IT CONTAINS A SHOCK;IN THIS PAPER WE CONSIDER THE ISENTROPIC COMPRESSIBLE EULER EQUATIONS IN TWO SPACE DIMENSIONS TOGETHER WITH PARTICULAR INITIAL DATA. THIS DATA CONSISTS OF TWO CONSTANT STATES, WHERE ONE STATE LIES IN THE LOWER AND THE OTHER STATE IN THE UPPER HALF PLANE. THE AIM IS TO INVESTIGATE;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
THE CUCKER-SMALE EQUATION: SINGULAR COMMUNICATION WEIGHT, MEASURE-VALUED SOLUTIONS AND WEAK-ATOMIC UNIQUENESS;THE CUCKER-SMALE FLOCKING MODEL BELONGS TO A WIDE CLASS OF KINETIC MODELS THAT DESCRIBE A COLLECTIVE MOTION OF INTERACTING PARTICLES THAT EXHIBIT SOME SPECIFIC TENDENCY, E.G. TO AGGREGATE, FLOCK OR DISPERSE. THIS PAPER EXAMINES THE KINETIC CUCKER-SMALE EQUATION WITH A SINGULAR CO;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
WEAK-STRONG UNIQUENESS FOR THE NAVIER-STOKES EQUATION FOR TWO FLUIDS WITH SURFACE TENSION;IN THE PRESENT WORK, WE CONSIDER THE EVOLUTION OF TWO FLUIDS SEPARATED BY A SHARP INTERFACE IN THE PRESENCE OF SURFACE TENSION-LIKE, FOR EXAMPLE, THE EVOLUTION OF OIL BUBBLES IN WATER. OUR MAIN RESULT IS A WEAK-STRONG UNIQUENESS PRINCIPLE FOR THE CORRESPONDING FREE BOUNDARY PROBL;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
SMOOTHING OF TRANSPORT PLANS WITH FIXED MARGINALS AND RIGOROUS SEMICLASSICAL LIMIT OF THE HOHENBERG-KOHN FUNCTIONAL;WE PROVE RIGOROUSLY THAT THE EXACT N-ELECTRON HOHENBERG-KOHN DENSITY FUNCTIONAL CONVERGES IN THE STRONGLY INTERACTING LIMIT TO THE STRICTLY CORRELATED ELECTRONS (SCE) FUNCTIONAL, AND THAT THE ABSOLUTE VALUE SQUARED OF THE ASSOCIATED CONSTRAINED SEARCH WAVEFUNCTION TENDS WEAKLY IN;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
TIME-DOMAIN ANALYSIS OF AN ACOUSTIC-ELASTIC INTERACTION PROBLEM;CONSIDER THE SCATTERING OF A TIME-DOMAIN ACOUSTIC PLANE WAVE BY A BOUNDED ELASTIC OBSTACLE WHICH IS IMMERSED IN A HOMOGENEOUS AIR OR FLUID. THIS PAPER CONCERNS THE MATHEMATICAL ANALYSIS OF SUCH A TIME-DOMAIN ACOUSTIC-ELASTIC INTERACTION PROBLEM. AN EXACT TRANSPARENT BOUNDARY COND;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
EXACT PERIODIC STRIPES FOR MINIMIZERS OF A LOCAL/NONLOCAL INTERACTION FUNCTIONAL IN GENERAL DIMENSION;WE STUDY THE FUNCTIONAL CONSIDERED IN GIULIANI ETAL. (PHYS REV B 84:064205, 2011, COMMUN MATH PHYS 331(1):333-350, 2014) AND GIULIANI AND SEIRINGER (COMMUN MATH PHYS 347:983-1007, 2016) AND A CONTINUOUS VERSION OF IT, ANALOGOUS TO THE ONE CONSIDERED IN GOLDMAN AND RUNA (ON THE OP;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
THE ROLE OF THE PRESSURE IN THE PARTIAL REGULARITY THEORY FOR WEAK SOLUTIONS OF THE NAVIER-STOKES EQUATIONS;WE STUDY THE ROLE OF THE PRESSURE IN THE PARTIAL REGULARITY THEORY FOR WEAK SOLUTIONS OF THE NAVIER-STOKES EQUATIONS. BY INTRODUCING THE NOTION OF DISSIPATIVE SOLUTIONS, DUE TO DUCHON AND ROBERT (NONLINEARITY 13:249-255, 2000), WE WILL PROVIDE A GENERALIZATION OF THE CAFFARELLI, ;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
GLOBAL EXISTENCE OF QUASI-STRATIFIED SOLUTIONS FOR THE CONFINED IPM EQUATION;IN THIS PAPER, WE CONSIDER A CONFINED PHYSICAL SCENARIO TO PROVE THE GLOBAL EXISTENCE OF SMOOTH SOLUTIONS WITH BOUNDED DENSITY AND FINITE ENERGY FOR THE INVISCID INCOMPRESSIBLE POROUS MEDIA (IPM) EQUATION. THE RESULT IS PROVED USING THE STABILITY OF STRATIFIED SOLUTIONS, COMBINED;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
DEFORMATIONS OF BI-CONFORMAL ENERGY AND A NEW CHARACTERIZATION OF QUASICONFORMALITY;THE CONCEPT OF HYPERELASTIC DEFORMATIONS OF BI-CONFORMAL ENERGY IS DEVELOPED AS AN EXTENSION OF QUASICONFORMALITY. THESE DEFORMATIONS ARE HOMEOMORPHISMS H:X -> ONTOYBETWEEN DOMAINS X,Y SUBSET OF RN OF THE SOBOLEV CLASS WLOC1,N(X,Y) WHOSE INVERSE F==DEFH-1:Y -> ONTOX$$\, F {\MATHO;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
ASYMPTOTIC DENSITY OF COLLISION ORBITS IN THE RESTRICTED CIRCULAR PLANAR 3 BODY PROBLEM;FOR THE RESTRICTED CIRCULAR PLANAR 3 BODY PROBLEM, WE SHOW THAT THERE EXISTS AN OPEN SET U IN PHASE SPACE OF FIXED MEASURE, WHERE THE SET OF INITIAL POINTS WHICH LEAD TO COLLISION IS O DENSE AS MU -> 0.;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
ENERGY MINIMIZATION OF TWO DIMENSIONAL INCOMMENSURATE HETEROSTRUCTURES;WE DERIVE AND ANALYZE A NOVEL APPROACH FOR MODELING AND COMPUTING THE MECHANICAL RELAXATION OF INCOMMENSURATE TWO DIMENSIONAL HETEROSTRUCTURES. OUR APPROACH PARAMETRIZES THE RELAXATION PATTERN BY THE COMPACT LOCAL CONFIGURATION SPACE RATHER THAN REAL SPACE, THUS BYPASSING THE NEE;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
THE GAP BETWEEN LINEAR ELASTICITY AND THE VARIATIONAL LIMIT OF FINITE ELASTICITY IN PURE TRACTION PROBLEMS;A LIMIT ELASTIC ENERGY FOR THE PURE TRACTION PROBLEM IS DERIVED FROM RE-SCALED NONLINEAR ENERGIES OF A HYPERELASTIC MATERIAL BODY SUBJECT TO AN EQUILIBRATED FORCE FIELD. WE PROVE THAT THE STRAINS OF MINIMIZING SEQUENCES ASSOCIATED TO RE-SCALED NONLINEAR ENERGIES WEAKLY CONVERGE, ;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
PLASTICITY AS THE -LIMIT OF A TWO-DIMENSIONAL DISLOCATION ENERGY: THE CRITICAL REGIME WITHOUT THE ASSUMPTION OF WELL-SEPARATENESS;IN THIS PAPER, A STRAIN-GRADIENT PLASTICITY MODEL IS DERIVED FROM A MESOSCOPIC MODEL FOR STRAIGHT PARALLEL EDGE DISLOCATIONS IN AN INFINITE CYLINDRICAL CRYSTAL. THE MAIN DIFFERENCE TO EXISTING WORK IS THAT IN THIS WORK THE WELL-SEPARATENESS OF DISLOCATIONS IS NOT ASSUMED. IN ORDE;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
DOUBLING INEQUALITY AND NODAL SETS FOR SOLUTIONS OF BI-LAPLACE EQUATIONS;WE INVESTIGATE THE DOUBLING INEQUALITY AND NODAL SETS FOR THE SOLUTIONS OF BI-LAPLACE EQUATIONS. A POLYNOMIAL UPPER BOUND FOR THE NODAL SETS OF SOLUTIONS AND THEIR GRADIENT IS OBTAINED BASED ON THE RECENT DEVELOPMENT OF NODAL SETS FOR LAPLACE EIGENFUNCTIONS BY LOGUNOV. IN ADDITIO;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
WELL-POSEDNESS OF FREE BOUNDARY PROBLEM IN NON-RELATIVISTIC AND RELATIVISTIC IDEAL COMPRESSIBLE MAGNETOHYDRODYNAMICS;WE CONSIDER THE FREE BOUNDARY PROBLEM FOR NON-RELATIVISTIC AND RELATIVISTIC IDEAL COMPRESSIBLE MAGNETOHYDRODYNAMICS IN TWO AND THREE SPATIAL DIMENSIONS WITH THE TOTAL PRESSURE VANISHING ON THE PLASMA-VACUUM INTERFACE. WE ESTABLISH THE LOCAL-IN-TIME EXISTENCE AND UNIQUENESS OF SOL;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
THE INVISCID LIMIT FOR THE NAVIER-STOKES EQUATIONS WITH DATA ANALYTIC ONLY NEAR THE BOUNDARY;WE ADDRESS THE INVISCID LIMIT FOR THE NAVIER-STOKES EQUATIONS IN A HALF SPACE, WITH INITIAL DATUM THAT IS ANALYTIC ONLY CLOSE TO THE BOUNDARY OF THE DOMAIN, AND THAT HAS SOBOLEV REGULARITY IN THE COMPLEMENT. WE PROVE THAT FOR SUCH DATA THE SOLUTION OF THE NAVIER-STOKES EQUATIONS ;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
CONTROL OF THREE DIMENSIONAL WATER WAVES;WE STUDY THE EXACT CONTROLLABILITY FOR SPATIALLY PERIODIC WATER WAVES WITH SURFACE TENSION, BY LOCALIZED EXTERIOR PRESSURES APPLIED TO FREE SURFACES. WE PROVE THAT IN ANY DIMENSION, THE EXACT CONTROLLABILITY HOLDS WITHIN AN ARBITRARILY SHORT TIME, FOR SUFFICIENTLY SMALL AND REGUL;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
LOCAL EXISTENCE OF MHD CONTACT DISCONTINUITIES;WE PROVE THE LOCAL-IN-TIME EXISTENCE OF SOLUTIONS WITH A CONTACT DISCONTINUITY OF THE EQUATIONS OF IDEAL COMPRESSIBLE MAGNETOHYDRODYNAMICS (MHD) FOR TWO DIMENSIONAL PLANAR FLOWS PROVIDED THAT THE RAYLEIGH-TAYLOR SIGN CONDITION ON THE JUMP OF THE NORMAL DERIVATIVE OF THE PRESSURE ;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
THERMOVISCOELASTICITY IN KELVIN-VOIGT RHEOLOGY AT LARGE STRAINS;THE FRAME-INDIFFERENT THERMODYNAMICALLY-CONSISTENT MODEL OF THERMOVISCOELASTICITY AT LARGE STRAIN IS FORMULATED IN THE REFERENCE CONFIGURATION BY USING THE CONCEPT OF THE SECOND-GRADE NONSIMPLE MATERIALS. WE FOCUS ON PHYSICALLY CORRECT VISCOUS STRESSES THAT ARE FRAME INDIFFERENT ;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
A VARIATIONAL REDUCTION AND THE EXISTENCE OF A FULLY LOCALISED SOLITARY WAVE FOR THE THREE-DIMENSIONAL WATER-WAVE PROBLEM WITH WEAK SURFACE TENSION;FULLY LOCALISED SOLITARY WAVES ARE TRAVELLING-WAVE SOLUTIONS OF THE THREE- DIMENSIONAL GRAVITY-CAPILLARY WATER WAVE PROBLEM WHICH DECAY TO ZERO IN EVERY HORIZONTAL SPATIAL DIRECTION. THEIR EXISTENCE HAS BEEN PREDICTED ON THE BASIS OF NUMERICAL SIMULATIONS AND MODEL EQUATIONS (IN ;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
EXISTENCE OF WEAK SOLUTIONS FOR A GENERAL POROUS MEDIUM EQUATION WITH NONLOCAL PRESSURE;WE STUDY THE GENERAL NONLINEAR DIFFUSION EQUATION U(T) = DEL.(U(M-1) DEL (-DELTA)(-S) U) THAT DESCRIBES A FLOW THROUGH A POROUS MEDIUM WHICH IS DRIVEN BY A NONLOCAL PRESSURE. WE CONSIDER CONSTANT PARAMETERS M > 1 AND 0 < S < 1, WE ASSUME THAT THE SOLUTIONS ARE NON-NEGATIVE AND TH;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
A FREE BOUNDARY PROBLEM WITH FACETS;WE STUDY A FREE BOUNDARY PROBLEM ON THE LATTICE WHOSE SCALING LIMIT IS A HARMONIC FREE BOUNDARY PROBLEM WITH A DISCONTINUOUS HAMILTONIAN. WE FIND AN EXPLICIT FORMULA FOR THE HAMILTONIAN, PROVE THAT THE SOLUTIONS ARE UNIQUE, AND PROVE THAT THE LIMITING FREE BOUNDARY HAS A FACETS I;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
SMALL NOISE LIMIT AND CONVEXITY FOR GENERALIZED INCOMPRESSIBLE FLOWS, SCHRODINGER PROBLEMS, AND OPTIMAL TRANSPORT;THIS PAPER IS CONCERNED WITH SIX VARIATIONAL PROBLEMS AND THEIR MUTUAL CONNECTIONS: THE QUADRATIC MONGE-KANTOROVICH OPTIMAL TRANSPORT, THE SCHRODINGER PROBLEM, BRENIER'S RELAXED MODEL FOR INCOMPRESSIBLE FLUIDS, THE SO-CALLED BRODINGER PROBLEM RECENTLY INTRODUCED BY ARNAUDON ET AL;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
A DUALITY THEORY FOR NON-CONVEX PROBLEMS IN THE CALCULUS OF VARIATIONS;WE PRESENT A NEW DUALITY THEORY FOR NON-CONVEX VARIATIONAL PROBLEMS, UNDER POSSIBLY MIXED DIRICHLET AND NEUMANN BOUNDARY CONDITIONS. THE DUAL PROBLEM READS NICELY AS A LINEAR PROGRAMMING PROBLEM, AND OUR MAIN RESULT STATES THAT THERE IS NO DUALITY GAP. FURTHER, WE PROVIDE NECESSA;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
SUPPRESSING CHEMOTACTIC BLOW-UP THROUGH A FAST SPLITTING SCENARIO ON THE PLANE;WE REVISIT THE QUESTION OF GLOBAL REGULARITY FOR THE PATLAK-KELLER-SEGEL (PKS) CHEMOTAXIS MODEL. THE CLASSICAL 2D PARABOLIC-ELLIPTIC MODEL BLOWS UP FOR INITIAL MASS M > 8 PI. WE CONSIDER A MORE REALISTIC SCENARIO WHICH TAKES INTO ACCOUNT THE FLOW OF THE AMBIENT ENVIRONMENT INDUCE;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
ANALYSIS OF DIFFUSION GENERATED MOTION FOR MEAN CURVATURE FLOW IN CODIMENSION TWO: A GRADIENT-FLOW APPROACH;THE MERRIMAN-BENCE-OSHER (MBO) SCHEME, ALSO KNOWN AS DIFFUSION GENERATED MOTION OR THRESHOLDING, IS AN EFFICIENT NUMERICAL ALGORITHM FOR COMPUTING MEAN CURVATURE FLOW (MCF). IT IS FAIRLY WELL UNDERSTOOD IN THE CASE OF HYPERSURFACES. THIS PAPER ESTABLISHES THE FIRST CONVERGENCE PR;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
SYMMETRY AND MULTIPLICITY OF SOLUTIONS IN A TWO-DIMENSIONAL LANDAU-DE GENNES MODEL FOR LIQUID CRYSTALS;WE CONSIDER A VARIATIONAL TWO-DIMENSIONAL LANDAU-DE GENNES MODEL IN THE THEORY OF NEMATIC LIQUID CRYSTALS IN A DISK OF RADIUS R. WE PROVE THAT UNDER A SYMMETRIC BOUNDARY CONDITION CARRYING A TOPOLOGICAL DEFECT OF DEGREE K2 FOR SOME GIVEN EVEN NON-ZERO INTEGER K, THERE ARE EXACTLY;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
EFFECTIVE MAXWELL'S EQUATIONS FOR PERFECTLY CONDUCTING SPLIT RING RESONATORS;WE ANALYZE THE TIME HARMONIC MAXWELL'S EQUATIONS IN A GEOMETRY CONTAINING PERFECTLY CONDUCTING SPLIT RINGS. WE DERIVE THE HOMOGENIZATION LIMIT IN WHICH THE TYPICAL SIZE ETA OF THE RINGS TENDS TO ZERO. THE SPLIT RINGS ACT AS RESONATORS AND THE ASSEMBLY CAN ACT, EFFECTIVELY, AS A M;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
AN OBSTACLE PROBLEM FOR CONICAL DEFORMATIONS OF THIN ELASTIC SHEETS;"A DEVELOPABLE CONE (""D-CONE"") IS THE SHAPE MADE BY AN ELASTIC SHEET WHEN IT IS PRESSED AT ITS CENTER INTO A HOLLOW CYLINDER BY A DISTANCE . STARTING FROM A NONLINEAR MODEL DEPENDING ON THE THICKNESS H > 0 OF THE SHEET, WE PROVE A -CONVERGENCE RESULT AS TO A FOURTH-ORDER OBSTACLE ";ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
A HIGH-FREQUENCY HOMOGENIZATION APPROACH NEAR THE DIRAC POINTS IN BUBBLY HONEYCOMB CRYSTALS;IN (AMMARI ET AL. IN SIAM J MATH ANAL.), THE EXISTENCE OF A DIRAC DISPERSION CONE IN A BUBBLY HONEYCOMB PHONONIC CRYSTAL COMPRISED OF BUBBLES OF ARBITRARY SHAPE IS SHOWN. THE AIM OF THIS PAPER IS TO PROVE THAT, NEAR THE DIRAC POINTS, THE BLOCH EIGENFUNCTIONS IS THE SUM OF TWO EIG;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
PERIODIC SOLUTIONS TO A CAHN-HILLIARD-WILLMORE EQUATION IN THE PLANE;IN THIS PAPER WE CONSTRUCT ENTIRE SOLUTIONS TO THE PHASE FIELD EQUATION OF WILLMORE TYPE IN THE EUCLIDEAN PLANE, WHERE W(U) IS THE STANDARD DOUBLE-WELL POTENTIAL . SUCH SOLUTIONS HAVE A NON-TRIVIAL PROFILE THAT SHADOWS A WILLMORE PLANAR CURVE, AND CONVERGE UNIFORMLY TO AS . THESE;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
VARIATIONAL PROBLEMS WITH LONG-RANGE INTERACTION;WE CONSIDER A CLASS OF VARIATIONAL PROBLEMS FOR DENSITIES THAT REPEL EACH OTHER AT A DISTANCE. TYPICAL EXAMPLES ARE GIVEN BY THE DIRICHLET FUNCTIONAL AND THE RAYLEIGH FUNCTIONAL PARTIAL DERIVATIVE{U(I) >0}, {U(J) > 0}) >= 1 FOR ALL(I) NOT EQUAL J..MINIMIZED IN THE CLASS OF FUNCTI;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
PERIODIC SOLUTIONS TO A CAHN-HILLIARD-WILLMORE EQUATION IN THE PLANE;IN THIS PAPER WE CONSTRUCT ENTIRE SOLUTIONS TO THE PHASE FIELD EQUATION OF WILLMORE TYPE IN THE EUCLIDEAN PLANE, WHERE W(U) IS THE STANDARD DOUBLE-WELL POTENTIAL . SUCH SOLUTIONS HAVE A NON-TRIVIAL PROFILE THAT SHADOWS A WILLMORE PLANAR CURVE, AND CONVERGE UNIFORMLY TO AS . THESE;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
THE OSEEN-FRANK LIMIT OF ONSAGER'S MOLECULAR THEORY FOR LIQUID CRYSTALS;WE STUDY THE RELATIONSHIP BETWEEN ONSAGER'S MOLECULAR THEORY, WHICH INVOLVES THE EFFECTS OF NONLOCAL MOLECULAR INTERACTIONS AND THE OSEEN-FRANK THEORY FOR NEMATIC LIQUID CRYSTALS. UNDER THE MOLECULAR SETTING, WE PROVE THE EXISTENCE OF GLOBAL MINIMIZERS FOR THE GENERALIZED ONSAGER;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;Mathematics;Analysis
